DATE TIME OPEN HIGH LOW CLOSE VOL
221107 120000 1127.5000000 1133.9100000 1127.5000000 1129.0900000 111294667
221107 130000 1129.0900000 1134.1000000 1128.9600000 1132.5000000 77381829
221107 140000 1132.4800000 1134.1600000 1129.1400000 1133.9500000 59646420
221107 150000 1133.5100000 1133.6300000 1129.8800000 1130.1300000 40857063
221107 160000 1130.1700000 1133.5500000 1129.0700000 1132.0400000 54276698
221107 170000 1132.1300000 1138.1800000 1132.1300000 1137.7600000 96990401
221107 180000 1137.7100000 1140.7800000 1136.0300000 1140.7800000 60117402
221108 100000 1139.8000000 1143.9400000 1129.8500000 1133.0200000 187450036
221108 110000 1132.9600000 1135.7100000 1127.8800000 1135.6400000 88033408
221108 120000 1135.5700000 1136.9600000 1133.1700000 1136.5000000 63966098
221108 130000 1136.4600000 1138.7400000 1135.7700000 1137.6700000 44981764
221108 140000 1137.6300000 1145.7500000 1137.3500000 1143.5100000 82228043
221108 150000 1143.5100000 1144.0700000 1141.0700000 1143.0500000 38753986
221108 160000 1143.0600000 1144.2900000 1138.4100000 1138.4100000 40498839
221108 170000 1138.3900000 1141.5300000 1135.7800000 1139.9800000 37052546
221108 180000 1139.9900000 1144.3000000 1139.9900000 1143.0500000 38233238
221109 100000 1135.3400000 1138.7400000 1132.6600000 1132.8400000 109064794
221109 110000 1132.8000000 1134.5800000 1127.8400000 1128.7600000 76943332
221109 120000 1128.7400000 1131.5500000 1126.3600000 1126.8500000 46381543
221109 130000 1126.9000000 1128.7800000 1125.8400000 1128.0500000 34528013
221109 140000 1127.9900000 1128.8800000 1125.2700000 1128.8800000 47351634
221109 150000 1128.9900000 1131.7500000 1127.6700000 1131.7500000 53684927
221109 160000 1131.7400000 1132.0100000 1124.8500000 1126.4300000 41925526
221109 170000 1126.5900000 1127.4800000 1121.4500000 1125.4800000 43037690
221109 180000 1125.5200000 1126.1700000 1112.7900000 1113.9300000 71203286
221110 100000 1112.6700000 1117.0200000 1108.6400000 1112.2000000 154926679
221110 110000 1112.3300000 1125.2600000 1112.2100000 1125.2400000 181585515
221110 120000 1125.2200000 1130.6200000 1125.2200000 1127.8300000 119804304
221110 130000 1127.9100000 1131.1800000 1127.5200000 1129.5400000 43638614
221110 140000 1129.5400000 1133.1800000 1129.0800000 1129.4800000 57284484
221110 150000 1129.4400000 1134.2000000 1129.4400000 1134.1600000 58936701
221110 160000 1134.2000000 1148.6300000 1128.8100000 1144.4100000 104643869
221110 170000 1144.3400000 1148.6100000 1143.7200000 1146.6600000 74381870
221110 180000 1146.7200000 1150.9900000 1146.5500000 1150.3600000 43239463
221111 100000 1164.2800000 1165.9500000 1153.0600000 1154.3000000 180668729
221111 110000 1154.3400000 1159.9200000 1152.0100000 1155.3500000 87471383
221111 120000 1155.3900000 1159.9400000 1154.5800000 1157.5200000 64905682
221111 130000 1157.4500000 1166.2000000 1157.1500000 1164.0200000 49643167
221111 140000 1164.0500000 1164.3900000 1156.3100000 1157.5200000 33940477
